,part_of_speech,meaning_english,meaning_filipino,sample_bolinao,sample_english,upos,word
sangkaartikulantiwan,adj,Most articulate.,Pinakamaliwanag magsalita.,Sangkaartikulantiwanya.,You are the mostloquaciousman.,ADJ,
sangkaaryan,adj,Youngest of the young.,Pinakabata; bunso.,Sitisangkaaryansa pamilya mo.,This is theyoungestin your family.,ADJ,
sangkaayupaan,adj,The lowest of some group.,Pinakamababa.,Utsintay singko a sangkaayupaan nin grid ko.,The very lowest grade I got was an eight five.,ADJ,
sangkabastusan,adj,"Not courteous, no good manners and right conduct.",Napakabastos; pinakabastos.,Sangkabastusanya ta dumalan ya sa adapan tawo a kasan pasantabi.,"He isnotall courteous because he passes infront of the persons talking together, and did not asked at all any permission.",ADJ,
sangkabayannyan,n,The bravest or most fierce of something.,Katapangan; kagitingan; mabagsik; napakalupit; pinakamatapang.,"Saray lion, saraysangkabayannyana ayep a tanda' ko.",The lions are the most fiercest animals that I know.,NOUN,
sangkaberengan,n,The saddest of all.,Pinakamalungkot.,Sangkaberengana kapapa'sar nin nangyadi' sa Ormoc Leyte.,Thesaddestthing that happened in the lives of people was in Ormoc Leyte.,NOUN,
sangkabistawan,adj,The most beautiful or nicest or cutest.,Mahusay; mabuti; magaling; pinakamaganda.,Mabistay anak mo.,Your child is beautiful.,ADJ,
sangkablyan,adj,The most precious or valued.,Pinakapapahalagahan.,Pinili' koya tan sangkablyan ya.,I have chosen him and he is most precious.,ADJ,
sangkabugaan,adj,The smallest of all.,Pinakamahina.,Kanya' anaod nin sangkaayupaan sara li' sa Pag'adian nan Dios a tawon mangwa' nin kasan kwinta konan wanra a sangkabugaan nin impurtanti nin gan-gan nan Dios tan iyakay nasara et a raruma nin gaw'en raya anamaet nin kasan kwinta.,Therefore certainly the people that make of no value what they say is the least important command of God and further teaches others to also make that of no value they will be the very lowest in the Kingdom of God.,ADJ,
sangkadaiklengan,adj,The very smallest of a group of things.,Pinakakaunti.,Si bali mi a sangkadaiklengan sa baranggay mi.,The smallest house in our barrio is our house.,ADJ,
sangkadaitean,adj,The very smallest of some group.,Pinakamaliit.,Nanginabo' yan rwa ran plata nin sangkadaitean a alaga.,She dropped two coins that have the least value.,ADJ,
sangkaday'an,adj,The farthest of all.,Pinakamalayo.,Si manalo sa ikap ket si sangkaday'an a balantik nan dyulin na.,The one who will win in the game is the one whose marble has the farthest toss/was tossed farthest.,ADJ,
sangkadedleman,adj,The darkest of all.,Pinakamadilim.,Nibantak nasaran mangkaprisodtaw sa sangkadedleman anggan say awro a dusawen nasara ket marate'.,He threw them out imprisoning them there in the darkest place until the day that he will punish them arrives.,ADJ,
sangkadintekan,adj,The very smallest of something.,Pimakamaliliit.,,,ADJ,
sangkadtawan,adj,"The brightest light or flame, highest intensity of flame.",,Mabli angkoy kayo nin sangkadtawan.,I think that wood that burns the brightest is expensive.,ADJ,
sangkadukaan,adj,"Worst, bad or evil in the highest degree.",Pinakamasama.,Syaysangkadukaankonran mibubsat bale' syay sangkaungan mag'adal.,He is theugliestamong his brothers and sisters but the brightest in learning.,ADJ,
sangkadunungan,adj,The most wise.,Pinakamatalino.,Syaysangkadununganbana' sa main a kayaman.,"He is anenlightenedone, because he has riches.",ADJ,
sangkagalangan,adj,The highest honor of all.,Pinakagalang-galang.,"Ket sinmunor, nako ya nin tinmekre' sa lugar nin sangkagalangan sa pawanan nan Dios.","And then following, he went and sat down in the place of highest honor at the right side of God.",ADJ,
sangkagsenan,adj,The strongest of all.,Pinakamalakas.,Si Samson a sangkagsenan konran Israelita intaw.,The one that was strongest of all of the former Israelites was Samson.,ADJ,
sangkaidapan,adj,"Most difficult, the hardest, something hard to bear.",Pinakamahirap.,Sangkaidapana kapapa'sar byay no main gira.,Life ismostdifficult to experience during war.,ADJ,
sangkaidumawan,adj,Something that is the most unique and different from all else.,Pinaka-kakaiba.,"Ket, si Sangkasantusan nin Lugar, napno' yan asok nin pakaipadar nin pakayadi' tan sangkaidumawan nin sager nan Dios.","And then, the Most Holy Place, it was filled with smoke displaying the power and most unique/special anger of God.",ADJ,
sangkaimpurtantiwan,adj,The most important of all.,Pinakamahalaga; pinakaimportante.,Syay ginwa' nan Dios nin sangkaimpurtantiwan nin baton matkap sa pamma'deng.,It is the one that God has made the most important stone that is needed in construction.,ADJ,
sangkainum'ayan,adj,For something to be the very easiest thing to do.,Pinakamadali.,Sangkainum'ayan nin gawa' nin pibula'-bula' a budi'.,Lying comes very easy in a denial.,ADJ,
sangkairaban,adj,The most painful of all.,Pinakamasakit.,Sangkairaban a sakit no masurot duwin ito'.,It is very painful when punctured by the fins of a catfish.,ADJ,
sangkaistriktwan,adj,The strictest.,Pinakamahigpit; pinakaistrikto.,Saray Pariseo a sangkaistriktwan nin grupo sa rilihyon mi.,The Pariseo are the strictest group among our religious groups.,ADJ,
sangkakapuyan,adj,The most lacking of all.,Pinakamahina.,,,ADJ,
sangkakarmaan,adj,"Blessed, fortunate.",Mapalad; maswerte; sagrado; pinakamapalad.,,,ADJ,
sangkaksawan,n,The strongest one.,Pinakamalakas.,"Ket si sangkaksawan konran saraytaw a mampibulang, syay manalo.",And so the one that is the strongest of the fighting is the winner.,NOUN,
sangkakudwa'dwan,adj,The most pitiful of all.,Pinakakaawa-awa.,"Ket, no say sarban man'ilalwan tamon iti kona ni Cristo ket angga tamo' sa byay tamodti sa luta', kasaynan sangkakudwa'dwan no kai si'tamo bana' sa nipanglingo kontamo.","And so if everything that we who are in Christ hope for/expect it reaches only to our life here on the earth, there is now no one else that is the most pitiable other than us because of our having been deceived.",ADJ,
sangkakustwan,adj,Most correct.,Pinakatama.,Si sangkakustwan a ubat na sa tepet mabyan yan 10 a puntos.,The one who has the most correct answer to the question will be given 10 points.,ADJ,
sangkalili'nekan,adj,The most dreadful of all.,Pinakanakakatakot.,"Sangkadukaan, sangkalili'nekan; maninida' tan saya yaytin bagay a puon patiti.",Evil; Satan's power.,ADJ,
sangkalumwan,adj,The softest part of something.,Pinakamalambot.,Sitaw ana a sangkalumwan luto' nin baka nin na'kan ko.,That is the softest cooked beef that I have eaten.,ADJ,
sangkamaungan,adj,The best of some quality related to a group.,Pinakamarunong.,Si'koy layi sangkamaungan sa upisina mi.,"I am, I think, the most intelligent in our office.",ADJ,
sangkamundwan,n,The sphere of the world including the universe.,Sandaigdigan.,Kasa et main tanda' no adti a anggawan nan sangkamundwan.,We do not yet know the extent of the universe.,NOUN,
sangkapaitan,adj,The most bitter of all.,Pinakamapait.,Sangkapaitan a apro nin bangos sa nga'min kuna' nin nipirito na ni Sam.,The gall bladder of the milkfish is the most bitter of all of the fish that Sam fried.,ADJ,
sangkapalawayan,adj,The most bright of all.,Pinakamaliwanag.,Awro a sangkapalawayan iti sa babon luta'.,The sun is the brightest of all lights here on earth.,ADJ,
sangkapamilyawan,n,The originating fathers.,Pinagmulan ng angkan.,,,NOUN,
sangkapilyuwan,adj,The most naughty of all.,Pinakapilyo.,Si Sam a sangkapilyuwan nin istudyanti na ni Madam Rose.,Sam is the naughtiest of Madam Rose's students.,ADJ,
sangkapinuwan,adj,The finest or least course of a group.,Pinakapino.,Sangkapinuwan a sasapitan ran ranom na ni Dan konran mibubsat.,Dan has the finest water strainer of his siblings.,ADJ,
sangkapwirsawan,adj,The most persuasive or influential of a group.,Pinakamalakas.,Kanya' kinayaban naya si labenglabeng asangkapwirsawannin ayep sa sakop nin pag'adian.,Therefore he called the jellyfish who was the most influential animal in the kingdom.,ADJ,
sangkaraetan,adj,The most depraved of all.,Pinakamasamang ugali.,,,ADJ,
sangkararusan,adj,The cleanest or most cleared of undesirable things among a group.,Pinakamalinis sa lahat.,Sangkararusanyay bali ra sa intiron bubali sa purok ra.,The area of their house is thecleaned the bestamong the whole of the houses in their district.,ADJ,
sangkaringgasan,adj,The cleanest of all.,Pinakamalinis.,Sangkaringgasan a pini'pian na ni Rose konran nami'pi' sa danin bubon.,Roses laundering is the cleanest of those doing laundry close to the well.,ADJ,
sangkarispitwan,adj,The most respected.,Pinakamarespeto.,,,ADJ,
sangkasagradwan,adj,The most sacred of all.,Pinakabanal; pinakasagrado.,"Say gaw'en moyo ket si dumasal kamo nin mangibwat sa panininreg nan Ispirito nan Dios komoyo; ipa'deng anamaet nin barang saya a byay na sa sangkasagradwan nin pundasyon a say katutu'wan nin mantepren tamo; tan wanin anamaet, taga'nan moyon siiilalo a ibi na kontamo nin Uunuren tamon si Jesu-Cristo nin mangibwat sa inganga'do na a umangga sa anggan-angga nin byay a iti konan Dios.","What you are to do is pray from the moving/stimulation of the Spirit of God of you; each one of you is to also build your life on the most sacred foundation, this is the truth that we are believing; and like that as well, confidently wait for that which our Lord Jesus Christ will give to us in the end out of his mercy which will end in eternal life with God.",ADJ,
sangkasakbayan,adj,earliest.,Pinakamaaga.,Sangkasakbayanya nga'min nin diligado a rimmate'!,He was the earliest of all the delegates who arrived!,ADJ,
sangkasam'itan,adj,The sweetest.,Pinakamatamis.,Asukar nin artipisyal kanoy sangkasam'itan nin asukar.,Artificial sugar is said to be the most sweet sugar.,ADJ,
sangkasantusan,adj,The most holy of all.,Pinakabanal.,Gaw'en tamo in ta kanawanawa tamoynay makasrep sa Sangkasantusan nin Lugar nan Dios bana' sa nipangida'ton na ni Jesus nin kadiryan na a tinmuro' a daya' na.,Let us do that since we now have the opportunity/freedom to enter the Most holy Place of God because of Jesus offering himself by the out flow of his blood.,ADJ,
sangkasikenan,adj,The oldest among the old men.,Pinakamatanda sa mga matandang.,Syay sangkasikenan konran mikakalamo'.,He is the oldest among those who are in company.,ADJ,
sangkasimpitan,adj,To be the most careful in the use of things such as money.,Pinakamasinop.,Si angkay Julie a sangkasimpitan komi kanya' abaw a dinep nan kwarta.,Older sister Julie is the most thrifty of us all and so she collects a lot of money.,ADJ,
sangkasintrwan,adj,Center most.,Pinakagitna.,Saray miikap nin balibol ket patuken rayay bula sa sangkasintrwan na.,The ones that play volleyball hit the top of the ball in its very center.,ADJ,
sangkasirula,n,A casserole of food.,Isang kaserola.,Mainsangkasirulanlinugaw sa suyang.,There is a casserole full of porridge.,NOUN,
sangkaslagan,adj,Brightest.,Pinakamaliwanag.,Sisangkaslagana bituen sitaw si simira' sa idaan nan abing a Jesus.,Thebrighteststar is that one whose rays shined where baby Jesus lay.,ADJ,
sangkasustansyawan,adj,The most nourishing of all.,Pinakamasustansya.,Abaw saray mag'irgo sa say karnin iwsa syay sangkasustansyawan a karni.,Many said that venison is the most nutritious meat.,ADJ,
sangkasuyutan,adj,"Last, coming after all others.",Pinakahuli; katapusan; kahuli-hulihan.,Sisangkasuyutana sarita' ni Jesus wana «Sa gamet mo italek koyay kararwa ko.»,"The verylastwords of Jesus were , «Into thy hands I commend my spirit»",ADJ,
sangkata'gayan,adj,To be supreme over all and worthy of honor.,Kamahalan.,Si'yay sangkata'gayan komin mibubsat.,He is the tallest of us siblings.,ADJ,
sangkatabaan,adj,"The fattest, the most stout.",Pinakamataba.,Sangkatabaanya konra istudyanti sa klasi na.,He is themost stoutof the student in her class.,ADJ,
sangkatalagan,adj,To be he most rare situation.,Pinakamadalang.,,,ADJ,
sangkatata'gayan,adj,Tallest of all.,Pinakamataas; pinakamatangkad.,Si Pedro syasangkatata'gayankomi.,Pedro is thetallestof all of us.,ADJ,
sangkatawayan,adj,The most tasty of all.,Pinakamasarap.,"Si'kamo bale', nisuyot moyo a sangkatawayan nin arak!","You however, have left the most tasty to the last!",ADJ,
sangkatib'eyan,adj,The toughest of all.,Pinakamatigas.,Dyamanti kanoy sangkatib'eyan nin bato.,It is said that diamond is the hardest stone.,ADJ,
sangkatuntawan,adj,The oldest among the old.,Pinakamatanda.,,,ADJ,
sangkau'nawan,adj,The very first of a group.,Pinakauna.,Si'yay sangkau'nawan nin rinmate' sa iskilawan.,He was the very first to arrive at the school.,ADJ,
sangkaultimwan,adj,The very last portion of something.,Pinakahuli.,Sisangkaultimwannin sarita' ni Jesus sa kudos wana <Sa gamet koya italek koyay kararwa ko.>,Thelastwords of Jesus at the cross is 'Into the hands I commend my spirit'.,ADJ,
sangkaungan,adj,"Best, most skilled.",Pinakamatalino.,"Anaod, sa wangko, kai rako gapo nin ibati' nin sarain nin kano wadi' a sangkaungan nin apostoles!","Indeed, in my estimation, those who reportedly are superb apostles do not at all surpass me!",ADJ,
sangkawawengan,adj,Stupidest person.,Pinaka bobo.,Si'kayna a sangkawawengan a tawon nakatanda' ko!,You are the stupidest person of all the people I know!,ADJ,
sangkay'anan,adj,Lightest in weight.,Pinakamagaan.,,,ADJ,
sangkayamanan,n,Richest person.,Pinakamayaman.,Syaynaysangkayamananiti sa babon luta'.,He is really therichestman here on the earth.,NOUN,
sangke',n,The glottal.,Kalso.,"Si sangke' nan siti si lamisawan, anggan itaw ya sa duyo.",The support for this table is that it wedges into the corner there.,NOUN,
sangkean,vl,To block the movement of something with something.,Kalsuhan.,Manangke' yay dudungawan no iburwang yan maong.,He wedges the window open when he opens it all the way.,VERB,
sangkini',n,The points of disagreement. A discussion of opposing ideas.,Hindi pagkakasundo.,Abaw a sangkini' mi kanya' kai kami makapitarusan.,We have many points of disagreements and so we are not able to come to an understanding.,NOUN,
sangkinian,n,Conflict over something.,Pagkakaunawaan.,Kalla say sangkinian ra ket maipa'ka' sa rilihyon ra tan maipa'ka' konan sayay tawon say ngaran na ket Jesus nin nati yayna bale' ipasuet na ni Pablo nin mabyay ya.,Their conflict was all/only about religion and concerning a person whose name is Jesus who is already dead but Pablo insisted that he is alive.,NOUN,
