Tuwali Words,Root Word,,Affixes,,English Translation,Tagalog Translation,Meaning,Part of Speech
Paubhukon,ubhukon,pa-,-,-,let make dust rise / cause to scatter,paukyatin ang alikabok,"to stir up dust so that it rises into the air, often by movement, wind, or deliberate action",Verb
paul,paul,-,-,-,gather sticks,mangalap ng mga patpat,to gather dried canegrass sticks for firewood,Verb
pawwid,pawwid,-,-,-,hands back,likod ng mga kamay,to place the hands behind the back,Verb
paya,paya,-,-,-,abandon,iwanan,to abandon or neglect children or older relatives,Verb
Payadom,payad,-,-,-om,spread,ibuka,to move something apart or open it wide,Verb
payagpag,payagpag,-,-,-,flap wings,ipakpak ang mga pakpak,to flap wings; to struggle by flapping wings,Verb
payak,payak,-,-,-,grow wings,lumaki ang mga pakpak,refers to the process of growing wings,Verb
payapay,payapay,-,-,-,signal,hudyat,to signal; waving gesture with hands,Verb
payo,payo,-,-,-,rice terrace / field,Palayan,Agricultural field / terrace,Noun
payonda,payo,-,-,-da,the ricefields of,palayan ng,Refers to someone’s ricefields or a specific ricefield,Noun
paypay,paypay,-,-,-,fan,tagahanga,to fan someone or something,Verb
paytuk,paytuk,-,-,-,bounce,tumalbog,"to move, by jumping up and down",Verb
payung,payung,-,-,-,umbrella,payong,to use an umbrella,Verb
payyad,payyad,-,-,-,extend hands,iabot ang mga kamay,to extend hands when dancing,Verb
Payyadom,payad,-,-,-om,spread (arms),ibuka,to move something apart or open it wide,Verb
pe,pe,-,-,-,N/A,N/A,modifies a statement by expressing empathy; expressing understanding of a situation,
pekpek,pekpek,-,-,-,vagina,ari,female private part,Verb
pelma,pelma,-,-,-,signal,hudyat,to sign a paper; affix signature,Verb
peman,peman,-,-,-,really,talaga,truly; in fact,Adverb
pensiyon,pensiyon,-,-,-,pension,pensiyon,to receive a pension,Verb
pewet,pewet,-,-,-,grimace,ngumisi,to twist mouth in a grimace; often done when crying,Verb
pi-ang,pi-ang,-,-,-,cut in two,hiwain sa dalawa,"to cut in two parts; to break apart; divide, generally refers to fruit or cooked root vegetable, not bananas",Verb
pibo,pibo,-,-,-,also / as well,rin / din,in addition; too; as well,Conjunction
pibo'y,pibo,-,-,-y,also / as well,rin / din,indicates addition; shows that what is true for one thing/person is also true for another.,Conjunction
pibon,pibo,-,-,-n,was given,ibinigay,The subject received something,Verb
pidit,pidit,-,-,-,pick up,kunin,to pick up something,Verb
piditon,pidit,-,-,-on,pick up,pumulot,to pick up something,Verb
pidol,pidol,-,-,-,to push,itulak,Action of pushing,Verb
pidwa,pidwa,-,-,-,repeat,ulitin,to do something again,Verb
pidwana,pidwa,-,-,-na,picked twice,pinili nang dalawang beses,"Repeated action, done twice",Verb
piggil,piggil,-,-,-,stone wall,pader na bato,to build a double-faced stone wall,Verb
pigsan,pigsa,-,-,-n,boil,pakuluan,Action of boiling something,Verb
pigut,pigut,-,-,-,thin,manipis,"to be thin, person or animal",Verb
pihhu,pihhu,-,-,-,pesow orth,pisow orth,costs a peso each; worth one peso,Verb
pihhuwan,pihhu,-,-,-wan,extort,mangikil,to extort money from someone,Verb
pihing,pihing,-,-,-,gather,magtipon,"to gather vegetables, generic term, including rootcrops, legumes and leafy vegetables",Verb
pihpi,pihpi,-,-,-,squeeze gently,pisilin ng marahan,to squeeze gently,Verb
pihul,pihul,-,-,-,scorn,pangungutya,to have contempt for; to scorn in speech; to despise someone,Verb
pikdol,pikdol,-,-,-,corner,sulok,to put something in a corner,Verb
piklat,piklat,-,-,-,scarred,may peklat,to be scarred; for a wound to become a scar,Verb
pikluy,pikluy,-,-,-,deformed,deformed,to be crippled with a deformed hand or foot,Verb
piknik,piknik,-,-,-,picnic,piknik,to go on a picnic,Verb
pikug,pikug,-,-,-,dent,yupi,"to make a hollow or depression; to deform something made of metal or plastic; dent, e",Verb
pila,pila,-,-,-,queue,pila,to form a queue,Verb
pilay,pilay,-,-,-,limp,malata,to limp,Verb
pile,pile,-,-,-,spirit which guards an area,spirit na nagbabantay sa lugar,a spirit that guards an area and can cause sickness,Noun
pili,maka,-,-,-,choose,pumili,to choose something,Verb
pilid,pilid,-,-,-,put wheels,maglagay ng mga gulong,"to place wheels on something, a cart, vehicle, or toy",Verb
pilit,pilit,-,-,-,forced,pinilit,Done unwillingly or under compulsion,Verb
piliti,piliti,-,-,-,pay fare,magbayad ng pamasahe,to pay fare,Verb
pilok,pilok,-,-,-,one-eyed,isang mata,to be one-eyed; to have one eye missing,Verb
pilyu,pilyu,-,-,-,naughty,malikot,to be naughty,Verb
pinala,pala,-,-na-,-,flattened,pinapantay,Made flat; action of flattening,Verb
pinangadanan,ngadan,pi-,-,-an,named,pinangalan,Action of giving a name; named,Verb
pinateh,pate,pi-,-,-,killed,pinatay,Action of killing,Verb
pindang,pindang,-,-,-,dried meet,tuyong pasalubong,to dry slices of meat over a fire or in the sun; dried meat,Verb
pindugna,pindug,-,-,-na,was stabbed,sinaksak,The subject was stabbed,Verb
pinga,pinga,-,-,-,tear,mapunit,to tear cloth or paper,Verb
pinggul,pinggul,-,-,-,hair bundle,bundle ng buhok,to bundle the hair at the nape of the neck,Verb
pinghana,pingha,-,-,-na,he/she/it was put/placed,inilagay,The subject was placed or put somewhere,Verb
pingit,pingit,-,-,-,to put/place something inside,ilagay,Action of putting or placing inside,Verb
pingkol,pingkol,-,-,-,mulch mounds,mulch mounds,to make mulch mounds in the ricefield,Verb
pingping,pingping,-,-,-,cut stones,maghiwa ng mga bato,to cut stones,Verb
pingwi,pingwi,-,-,-,turn head,lumingon ang ulo,turn head sidewards,Verb
Pinho-pinhod,pinhod,pin-,-ho-,-,I want to stay,Gustong-gusto kong,Expresses desire,Verb
pinhod,pinhod,-,-,-,like,gusto,to enjoy an activity or person,Verb
pinhod na,pinhod,-,-,-na,to like/love something,mahal / gusto,Expresses liking or loving something,Verb
pinhod nan,pinhod,-,-,-nan,the love of...,pagmamahal ng,Possessive sense of love,Noun
pinhodmu,pinhod,-,-,-mu,your love,pagmamahal mo,Possessive “your love”,Noun
pinhodmu’t,pinhod,-,-,-mut,you like it or you want it,gusto mo / gusto mo iyon,Actor expresses liking/wanting,Verb
piniditna,pidit,-,-ni-,-na,picked,pinili / kinuha,Completed action of picking,Verb
pinidwana,pidwa,-,-nid-,-na,picked twice,pinili nang dalawang beses,Action of picking repeated twice,Verb
pinilin,pili,-,-,-n,chosen,pinili,Action of selecting or choosing,Verb
pinilina,pili,-,-,-na,was chosen by,pinili ng,Indicates past action of being chosen,Verb
pininghan,pinghan,-,-,-,occasionally,paminsan-minsan,from time to time; sometimes,Adverb
pinit,pinit,-,-,-,gather berries,mangalap ng mga berry,to gather wild berries,Verb
pinnangan,pangan,pi-,-,-,pecked,tinuklaw/ tinalo,Action of pecking,Verb
pinngit,pingit,-,-,-,to peck,tuka;tumuklaw,Action of pecking,Verb
pinngitna,pingit,-,-,-na,it was pecked,tinklaw na,The subject was pecked,Verb
Pinpinhod,pinhod,pin-,-,-,I love,Mahal ko,Verb expressing strong affection or care,Verb
pintas,pintas,-,-,-,beautiful,maganda,to be beautiful; pleasing to the eye,Verb
pintor,pintor,-,-,-,paint,pintura,to paint something,Verb
pinu,pinu,-,-,-,sift,salain,"to sift flour, sand, soil; to refine",Verb
pinuhha,pinuhha,-,-,-,wear hipbag,magsuot ng hipbag,to wear the hipbag,Verb
pinumhod,pin,-,-um-,-hod,got well,gumaling,"to regain health, recover from illness, or return to a normal state after being sick or unwell.",Verb
pipip,pipip,-,-,-,beep,beep,sound of a horn; a toot; a beep,Verb
pipong,pipong,-,-,-,deafen,nagbibingi-bingihan,"to cause hearing difficulty temporarily; the cause may be a cold, loud noise, or blow to ear",Verb
pitaka,pitaka,-,-,-,put in wallet,ilagay sa wallet,to place money into a wallet,Verb
pitatawa,tatawa,pi-,-,-,funny,nakakatawa,causing laughter or amusement; humorous,Adjectives
pite,pite,-,-,-,mushy,malambot,"to be softened, fruit or vegetables; mushy food due to overcooking; may also refer to something that is rotten",Verb
pitlek,pitlek,-,-,-,soggy,basang-basa,to be soggy; too much water in cooked rice or in rice wine; crushed rice can cause this to happen,Verb
pitlolyo,pitlolyo,-,-,-,use kerosene,gumamit ng kerosene,to use kerosene by placing it on something,Verb
pitlu,pitlu,-,-,-,thrice,tatlong beses,three times,Verb
pito,pito,-,-,-,farm,sakahan,to go to work in the ricefields; has component of reporting for work,Verb
pitok,pitok,-,-,-,muddy,maputik,may be derived to be a process or a state; become muddy; is muddy,Verb
pitpit,pitpit,-,-,-,chirp,huni,for the pitpit bird to chirp,Verb
pitpitona’,pitpit,-,-o-,-na,pound,hampasin,strike or hit heavily and repeatedly,Verb
pitu,pitu,-,-,-,seven,pitu,cardinal number seven,Adjectives
pituk,pituk,-,-,-,dive,sumisid,to dive for something underwater,Verb
pitul,pitul,-,-,-,dent,yupi,"to dent or flatten something, e",Verb
piyaho,piyaho,-,-,-,clear,malinaw,"to be clear, water or other liquid, used most frequenly about rice wine",Verb
piyak,piyak,-,-,-,chirp,huni,"the sound of any baby bird or fowl, e",Verb
piyal,piyal,-,-,-,trust,confianza,trust; confidence,Noun
piyesta,piyesta,-,-,-,fiesta,fiesta,to hold a fiesta,Verb
planu,planu,-,-,-,intend,balak,to design or destine for a particular purpose or end,Verb
pletident,pletident,-,-,-,president,pangulo,president,Noun
po,po,-,-,-,swell,maga,"become larger or rounder in size, typically as a result of an accumulation of fluid",Verb
podon,podon,-,-,-,support,sumuporta,"to provide, support, or sustenance",Verb
podpod,podpod,-,-,-,pack,pack,to press something into a container; to pack into,Verb
Podpodhon,podhon,-,-pod-,-,I love (voice),Mahal ko (boses),Verb expressing affection or delight,Verb
pogha,pogha,-,-,-,boil,pigsa,to have a boil,Verb
poghot,poghot,-,-,-,press,pindutin,"to exert pressure on something, e",Verb
pogle,pogle,-,-,-,almost full,halos puno na,"to fill something three-quarters full, between half and full; almost full",Verb
pogo,pogo,-,-,-,sour,maasim,to add a sour juice as an ingredient to food,Verb
pogot,pogot,-,-,-,tangy,mabango,"to have the strong, tangy taste of properly aged wine",Verb
pogtang,pogtang,-,-,-,sever,putulin,to break apart; to sever a rope or string,Verb
pohak,pohak,-,-,-,break branches,masira ang mga sanga,to break off the branches of trees; often a strong wind during typhoons breaks off branches,Verb
pohakon,pohak,-,-,-on,to fill,punuin,to make soemthing full,Verb
pohal,pohal,-,-,-,split,hati,to split wood or bamboo,Verb
pohdo,pohdo,-,-,-,full,puno,max capacity,Adjectives
pohdon,pohdon,-,-,-,fullness,kapunuan,state of being full,Noun
pohdopohdon,pohdon,-,-,-,fills,pinupuno,making something full,Verb
pohod,pohod,-,-,-,love,pag-ibig,to love each other,Verb
pohona,pohona,-,-,-,fill it,punuin,to make soemthing full,Verb
pohpo,pohpo,-,-,-,squeeze,pisilin,"to apply or exert pressure on something, wring; squeeze",Verb
pohpohdon,pohdon,poh-,-,-,fills,pinupuno,making something full,Verb
pohpohdona,pohdon,poh-,-,-na,fill them/it,punuin ito,fill something specific,Verb
poka,poka,-,-,-,clas,clas,"to hold something in the hand; to clasp in hand, fingers are clasped around object, but object is too big to completely close the hand",Verb
pokaw,pokaw,-,-,-,scream,sigaw,"to scream due to fear, Mumpokaw nan babai hi takut na",Verb
pokod,pokod,-,-,-,spirit hold,hawakan ng espiritu,refers to the hold that spirits may have on a person's life,Verb
pokok,pokok,-,-,-,short in height,maliit,having a small stature,Adjectives
pokol,pokol,-,-,-,rounded,bilugan,to be developed in a rounded form; matured,Verb
pokot,pokot,-,-,-,glue,pandikit,to cause something to adhere to something else; to fasten together with something sticky; glued together; joined by glue,Verb
pokwal,pokwal,-,-,-,lift,angat,"to lift stone or hardened soil; to remove something embedded in earth or metal, e",Verb
polag,polag,-,-,-,pick fruit,pumitas ng prutas,"to pick fruit; to harvest fruit of trees, to pick coffee beans",Verb
polak,polak,-,-,-,sell herilooms,magbenta ng mga herilooms,"to sell heirlooms, e",Verb
polat,polat,-,-,-,faint,nanghihina,to be passed out,Verb
polga,polga,-,-,-,deworm,deworm,to deworm,Verb
politiko,politiko,-,-,-,political,pampulitika,to be political; pertaining to government affairs or politics,Verb
polot,polot,-,-,-,mate,kapareha,"to copulate, mating of animals",Verb
polpol,polpol,-,-,-,beat laundry,talunin ang paglalaba,to beat laundry with a club,Verb
poltan,poltan,-,-,-,breeding,pag-aanak,to use a rooster for breeding purposes,Verb
ponad,ponad,-,-,-,stretch,mag-inat,to stretch something; to pull taut,Verb
pongol,pongol,-,-,-,grip,mahigpit na pagkakahawak,"to hold in hand; to grip long, thin objects, e",Verb
pongot,pongot,-,-,-,headband,headband,to tie cloth around head,Verb
pongpong,pongpong,-,-,-,grasp,hawakan,"to hold something tightly; to grasp; to grip, e",Verb
Ponpon,ponpon,-,-,-,arrange,ayusin,the agricultural ritual of stacking rice in a granary,Verb
poppog,poppog,-,-,-,end,wakas,to end a condition or action,Verb
porman,porman,-,-,-,foreman,kapatas,to act as a foreman or superintendent of a group of workers,Verb
poste,poste,-,-,-,post,post,to place a post,Verb
potag,potag,-,-,-,cracked,basag,"to be cracked, refers to earth or other object due to the heat of the sun",Verb
potang,potang,-,-,-,sun,araw,the star at the center of the solar system that gives light and heat to the Earth,Noun
potang,potang,-,-,-,shine,sumikat,the sun gives light; the sun shines,Verb
potkon,potkon,-,-,-,choose,pumili,to choose something,Verb
potok,potok,-,-,-,correctly,tama,in a right or accurate way,Adverb
potok,potok,-,-,-,choose,pumili,to choose something from a group,Verb
poton,poton,-,-,-,remove parts,alisin ang mga bahagi,to remove parts of a whole,Verb
pottok,pottok,-,-,-,place adjacent,lugar na katabi,"to place directly in front, under or above something else, includes the concept of adjacency though not necessarily in actual contact",Verb
potw'ak,potw'ak,-,-,-,pull apart,maghiwalay,to pull apart,Verb
poy-an,poy-an,-,-,-,heal,gumaling,to be healed of wounds and skin diseases,Verb
problemaon,problemaon,-,-,-on,worry,mag-alala,to worry about a problem; be troubled because of a problem,Verb
promote,promote,-,-,-,promote,isulong,to raise someone in rank or grade,Verb
pu-lit,pu-lit,-,-,-,cut hair,gupitin ang buhok,to cut hair; to remove hair by cutting,Verb
pu-ul,pu-ul,-,-,-,heap,bunton,to heap a dry substance into a container or into a pile,Verb
puddan,puddan,-,-,-,roll,gumulong,to roll something or someone,Verb
pudil,pudil,-,-,-,insert,ipasok,to insert s,Verb
pudit,pudit,-,-,-,crush,crush,to crush something using a heavy object,Verb
pudlit,pudlit,-,-,-,fill in,punan,"to fill in a gap or hole with cement, earth or mud",Verb
pudnu,pudnu,-,-,-,confess,umamin,to tell the truth; to confess,Verb
pudon,pudon,-,-,-,restrain,pigilin,to restrain; to hold on to someone or something,Verb
pudug,pudug,-,-,-,chase,habulin,to chase someone or something; to pursue; to run after,Verb
pudugona,pudug,-,-o-,-na,support it,suportahan,to give support to something,Verb
pudugonah,pudug,-,-o-,-nah,support it,suportahan,to give support to something,Verb
pudun,pudun,-,-,-,wind,hangin,to wind string or yarn into a ball,Verb
pudung,pudung,-,-,-,prohibit,ipagbawal,to place the prohibition sign,Verb
pudut,pudut,-,-,-,heat / sultriness,alinsangan,"Hot, humid, uncomfortable weather",Noun
pug-ik,pug-ik,-,-,-,squirt,pumulandit,to eject liquid in a stream or spray,Verb
pug-uy,pug-uy,-,-,-,exhale smoke,huminga ng usok,to exhale smoke; blow smoke,Verb
puga,puga,-,-,-,pick fruit,pumitas ng prutas,to pick fruit; to gather fruit,Verb
pugit,pugit,-,-,-,spray,spray,"to be sprayed by a crushed or squeezed object, e",Verb
pugo,pugo,-,-,-,leave alive,umalis ng buhay,to leave a plant alive when cutting grass or trees,Verb
puh-ig,puh-ig,-,-,-,orphaned,ulila,to be orphaned; having only one or no living parent,Verb
puha,puha,-,-,-,to blow,hipan,to create an air current using the mouth,Verb
puhik,puhik,-,-,-,break,basag,to break something made of glass,Verb
puhipu,puhipu,-,-,-,finish,tapusin,to end or finish an action,Verb
puhon,puhon,-,-,-,bellows,bubulusan,"a device with an air bag that emits a stream of air when squeezed together with two handles, used for blowing air into a fire",Noun
