Iloko,English
Mano pay ti nabati nga kuarta ni Jose?,How much money is left for Jose?
"Gapu ta kayat na nga saan nga agsakit, gimmatang isuna ti bitamina C nga agbalor ti Php 355.00. ","Because he doesn't want to get sick, he bought Vitamin C worth Php 355.00. "
Basoen ti word problem ket pilien ti umno a sungbat.,Read the word problem and choose the correct answer.
"Ni Lovy ket adda kendi na nga 390, inted na diay 140 kenni Ana. ","Lovy has 390 candies, she gave 140 to Ana. "
Mano pay ti nabati nga kendi ni Lovy?,How many candies are left for Lovy?
Adda 879 nga tattao nga nagsakit iti COVID19.266 kaniada ket naimbaganen.,There are 879 people who got sick with COVID19. 266 of them have recovered.
Ni Samson ket nakaumong ti Php 456.00 idiay panaglako na ti mulmula.,Samson saved Php 456.00 from selling plants.
Gimmatang isuna ti baro nga pantalonna nga agbalor ti Php 350.00.,He bought new pants worth Php 350.00.
Mano pay iti nabati nga kuartana?,How much money is left for him?
Daytoy a modyul ket maipanggep iti usto a panagsaruno ti panagnayon ken panagkissay iti numero.,This module is about the correct order of addition and subtraction of numbers.
Nainayun met dagiti pre-requisite skills maipapan ti panagkissay wenno panagnayon iti numero.,Prerequisite skills regarding subtraction or addition of numbers are also included.
"Kalpasan daytoy a modyul, manammama a mabigbig ti agasaruno nga mathematical operations maipanggep iti panagnayon ken panagkissay.","After this module, it is expected that you will recognize the order of mathematical operations concerning addition and subtraction."
"Nu ti panagnayon ken panagkissay ti pagasaritaan , unaen iti mathematical operation a panagnayon sakbay iti panagkissay.","If the topic is addition and subtraction, do the mathematical operation of addition before subtraction."
"Para iti naananay a panakailadawan iti panagsaruno nga mathematical operations maipanggep iti panagnayon ken panagkissay, adalen dagiti sumaganad nga pagarigan.","For a clear illustration of the order of mathematical operations concerning addition and subtraction, study the following examples."
lyuna nga aramiden ti panagnayon sakbay ti panagkissay.,Do the addition first before the subtraction.
Timbukelan ti umuna nga solbaren a kas maiyannurot iti operasyon ti panagnayon ken panagkissay.,Encircle the one to be solved first according to the operation of addition and subtraction.
Timbukelan ti umuna a solbaren.,Encircle the one to be solved first.
"Isurat nu ania iti kurang, ikabil iti sungbat iti uneg iti kahon.","Write what is missing, put the answer inside the box."
Solbaren dagiti sumaganad ken ipakita ti solution.,Solve the following and show the solution.
Daytoy a modyul ket maipanggep ti panagsolbar iti adu nga addang ti routine ken non-routine word problem maipanggep ti panagnayon ken panagkissay iti dua agingga tallo a numero ken mainaman ti kuwarta nga maaramat iti nadumaduma nga estratehiya.,This module is about solving multi-step routine and non-routine word problems concerning the addition and subtraction of two to three-digit numbers including money using various strategies.
Nainayun met dagiti pre-requisite skills maipapan iti panagkissay wenno panagnayon ti numero ken ti panagsolbar iti routine ken non-routine problems.,Prerequisite skills regarding subtraction or addition of numbers and solving routine and non-routine problems are also included.
"Kalpasan daytoy a modyul, manamnama a masungbatan dagiti routine ken non-routine word problems maipanggep ti panagnayon ken panagkissay iti dua agingga tallo a numero ken mainaman ti kuwarta nga maaramat iti nadumaduma nga estratehiya.","After this module, it is expected that you can answer routine and non-routine word problems concerning the addition and subtraction of two to three-digit numbers including money using various strategies."
Makuna a routine problem no masungbatan daytoy a dagus.,It is called a routine problem if it can be answered immediately.
Non-routine problem met a makunkuna iti maysa a problem no masapul nga usaren ti naun uneg pay a panagnanpanunot tapno mapamuay iti umno a sungbat.,A problem is called a non-routine problem if it requires deeper thinking to arrive at the correct answer.
Number sentence met ti awag iti numero a maipamuay manipud iti maysa aproblem nga adda iti operation/s na.,The number derived from a problem that has its operation/s is also called a number sentence.
"Tapno maawatan, adalen dagiti sumaganad nga pagarigan","To understand, study the following examples"
Adda 286 a manok a taraken ni Nilo. Naglako isuna ti 96 idi Enero ken 40 idi Pebrero.,Nilo has 286 chickens to raise. He sold 96 in January and 40 in February.
Mano pay ti nabati a manok?,How many chickens were left?
Mano pay iti nabati a manok ni Nilo,How many chickens are left for Nilo
Adda 150 pay a nabati nga manok ni Nilo.,There are still 150 chickens left for Nilo.
Adda tallo dosena a lapis ni Berta. Nausaman ti lima idi napalabas a tawen ken inted na ken ading na Bitoy ti pito.,Berta has three dozen pencils. Five were used last year and she gave seven to her sibling Bitoy.
Mano pay ti nabati a lapis ni Berta?,How many pencils are left for Berta?
Ania ti kumpleto a sungbat?,What is the complete answer?
Gimmatang isuna ti asukar nga aggatad iti Php27.00 ken maysa kilo a pakete iti kape nga aggatad ti Php19.00.,He bought sugar costing Php27.00 and a one-kilo package of coffee costing Php19.00.
"Maysa nga aldaw, nakaumong isuna iti Php62.00. ","One day, he saved Php62.00. "
Routine problem no masungbatan daytoy a dagus.,It is a routine problem if it can be answered immediately.
Non-routine problem no masapul nga usaren iti naun uneg pay a panagpanpanunot tapno mapamuay iti umno a sungbat.,It is a non-routine problem if it requires deeper thinking to arrive at the correct answer.
Number sentence met iti awag iti numero a mapamuay manipud iti maysa a word problem nga adda iti operation/s na.,The number derived from a word problem that has its operation/s is also called a number sentence.
Adda 346 nga pato a taraken ni Apong Juan. Naglako isuna ti 48 idi Hunyo ken 75 idi Hulyo.,Apong Juan has 346 ducks to raise. He sold 48 in June and 75 in July.
Mano pay iti nabati nga pato ni Apong Juan?,How many ducks are left for Apong Juan?
Sinno ti adda taraken na?,Who has the animals to raise?
Naglingta ni Manang Lita iti 170 a mais.,Manang Lita harvested 170 corn.
Inlakona iti 25 a piraso iti kaarubana ken 65 a piraso iti gagayyem na.,She sold 25 pieces to her neighbor and 65 pieces to her friend.
Ania ti inlingta ni Manang Lita?,What did Manang Lita harvest?
Ania ti ingkasta ni Manang Lita iti inlingtana?,What did Manang Lita do with her harvest?
"Iti maysa a taripnong wenno grupo adda 71 a nagannak, ububbing ken manursuro.  ","In a meeting or group, there are 71 parents, children and teachers.   "
No 21 kadagitoy ket nagannak ket 8 a manursuro.,If 21 of them are parents and 8 are teachers.
Mano dagiti ubbing nga adda idlay taripnong?,How many children are in the group?
Anya ti number sentence ti word problem?,What is the number sentence of the word problem?
Ni Tata Enteng ket nangtandan ti 127 a trabahador.,Tata Enteng hired 127 workers.
Mano iti babbai a trabahadorna?,How many are female workers?
"Idi napalabas a bulan, nangtangdan pay ti 46 a trabahador. ","Last month, he hired another 46 workers. "
"Last month, he hired another 46 workers. ","Afterwards, answer the following questions."
Gimmatang ni Mila iti dua dosena nga tilog.,Mila bought two dozen eggs.
"Nu inusar na ti 17 nga tilog a pangluto iti cake ken 3 ti nausar na nga nagluto ti puto, mano amin nga tilog iti haan a nausar?","If she used 17 eggs for cooking cake and 3 were used for cooking puto, how many eggs in total were not used?"
Gimmastos ni Rona ti Php 125.00 para ti proyekto na ken Php 25.00 a plete na.,Rona spent Php 125.00 for her project and Php 25.00 for her fare.
"No adda Php 500.00 a kuartana, mano amin iti nabati a kuartana?","If she has Php 500.00, how much in total is her money left?"
Adda dua puon nga abukado ni Tata Sura.,Tata Sura has two avocado trees.
Nakapurus isuna ti 57 kilos iti maysa puon ken 69 kilos iti maysa pay a puon.,He harvested 57 kilos from one tree and 69 kilos from another tree. 38 of them are ripe.
38 kadagitoy ket naluom. Mano nga abukado ti saan pay a naluom?,How many avocados are not yet ripe?
Ni Martini ket addaan iti 240 nga amarillo a lastiko ken 123 nalabaga a lastiko.,Martini has 240 yellow rubber bands and 123 red rubber bands.
No 300 a lastiko ti malaan iti karton.,If 300 rubber bands can be placed in a box.
Mano a lastiko ti haan na naikarga?,How many rubber bands were not loaded?
Ania ti marisna dagiti lastiko?,What are the colors of the rubber bands?
Nagaramid ni Rina ti 550 a pandesal nga adda palaman na a cheese ken 250 a tinapay nga adda palaman na a niog.,Rina made 550 cheese-filled pandesal and 250 coconut-filled bread.
Nailakona ti 760 kadagitoy a tinapay kadagiti gagayyem ken kaarubana.,She sold 760 of these breads to her friends and neighbors.
Kayat ni Bentong iti gumatang iti sopas nga aggatad iti Php 15.00 ken maysa baso a juice nga aggatad iti Php 5.00.,Bentong wants to buy soup costing Php 15.00 and a glass of juice costing Php 5.00.
Mano iti nabati a kuartana kalpasan nga gimmatang iti sopas ken juice?,How much money is left after buying the soup and juice?
Anya ti number sentence ti word problem?,What is the number sentence of the word problem?
Gimmatang ni Mila iti facemask nga agbalor iti Php175.00.,Mila bought a facemask worth Php175.00.
"Nu iti kuartana ket Php 500.00 ket nagglete na iti Php 50.00, mano pay iti nabati a kuartana?","If her money was Php 500.00 and she paid Php 50.00 for fare, how much money is still left for her?"
Nagiwaras dagiti opisyal iti barangay iti libre a faceshield para kadagiti empleyado iti Dungon Integrated School.,The barangay officials distributed free faceshields for the employees of Dungon Integrated School.
"Nu adda 19 teaching personnel ken 5 nga non-teaching personnel iti naikkan, mano nga faceshield iti nabati ti karton nga aglaon iti 100?","If 19 are teaching personnel and 5 are non-teaching personnel who were given, how many faceshields are left in the box containing 100?"
Daytoy nga modyul ket addaan dagiti banag a macramid nga makatulong kadakayo tapno mapasayaat yo dagiti paglaingan ken kabaelan yo iti Matimatika.,This module has things that can help you improve your skills and abilities in Mathematics.
Makaay-ayo ken makaadal kayo kadagitoy.,You will enjoy and learn from these.
"Maamwam dagiti banag nga makatulong ti panagpaado babaen ti panag usar ti REPEATED ADDITION, SKIP COUNTING ken NUMBER LINE.","You will know the things that help multiplication through using REPEATED ADDITION, SKIP COUNTING and NUMBER LINE."
Daytoy nga modyul ket tulungannaka nga malawlawagan ti panangiyaramid ti multiplication.,This module will help you understand how to do multiplication.
Isuronaka ti nalaklaka nga pannakatarus no kasatno aramiden iti panag multiply.,It will teach you the easiest way to understand how to do multiplying.
Adalen nga nasayaat tapno panangsagana iti panagsungbat dagiti aramiden ditoy a modyul.,Study it well to prepare for answering the activities in this module.
Ti balla-igim wenno success ket nakadepende no kasatno ka nga agirabaho ken iti determinasyon mo nga agadal.,Your progress or success depends on how you work and your determination to study.
Ammo yo kadi nga ti multiplication ket nalaka laeng nga adalen?,Did you know that multiplication is just easy to learn?
Adu ti mabalin nga aramiden tapno nalaklaka ti panagpaadu ti numero.,There are many things that can be done to make multiplying numbers easier.
"Iti multiplication isu ti makuna a paulit-ulit nga panagnaynayan Intay adalen ti panangusar ti repeated addition, skip counting ken number line.","In multiplication, it is called repeated addition. Let's learn the use of repeated addition, skip counting and number line."
Nagaget nga ubing ni Carlo.,Carlo is a hardworking child.
Inaldaw nga kadkadwaan na ni amangna nga mangtaripato dagiti taraken da nga manok.,Everyday he accompanies his father to take care of their raised chickens.
Ada iti tallo nga kulungan nga naglaon ti fig lima nga manok.,There are three cages containing five chickens each.
Mano amin ngata ti taraken da Carlo?,How many in total are Carlo's animals?
"No ti bawat kulungan ket adalah ti figillima nga taraken nga manok, mano ngata amin ti tartarakenen da?","If each cage has five animals (chickens) to raise, how many in total are they raising?"
